rank,token,occurrences,dominant_bm,dominant_count,outlier_bm,outlier_count,recommended_primary_bm,allowed_alternates_bm,flags,score,sample_keys,sample_english,policy_note
2345,أَنَّ,99,bahawasanya,56,bahawa sesungguhnya,7,bahawasanya,bahawa | sesungguhnya,outside_policy,48.54,7:75:13 | 8:24:12 | 9:3:10 | 9:36:33 | 9:78:3,that | that | that | that | that,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2346,أَنَّ,99,bahawasanya,56,sekiranya,7,bahawasanya,bahawa | sesungguhnya,outside_policy,48.54,5:65:2 | 6:58:3 | 13:31:2 | 37:168:2 | 39:47:2,that | that | that was | that | And if,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2347,فَلَمَّآ,21,maka setelah,10,maka ketika,4,maka setelah,,outside_policy,48.54,6:76:10 | 6:77:8 | 6:78:10 | 7:155:7,But when | But when | But when | Then when,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2348,كَذَّبَ,21,telah mendustakan,10,dia mendustakan,4,telah mendustakan,,outside_policy,48.54,7:37:9 | 10:17:9 | 29:68:9 | 75:32:2,denies | denies | denies | he denied,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2349,كَذَّبَ,21,telah mendustakan,10,mendustakan,4,telah mendustakan,,outside_policy,48.54,6:157:21 | 17:59:8 | 92:16:2 | 96:13:3,denies | denied | denied | he denies,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2350,فَلَن,19,maka tidak,13,maka tidaklah,1,maka tidak,,outside_policy | annotative_expansion,48.53,35:43:17,But never,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2351,كُلُّ,46,tiap-tiap,26,setiap,7,tiap-tiap,,outside_policy,48.53,13:42:12 | 19:93:2 | 45:28:5 | 50:21:2 | 70:38:2,every | all | Every | every | every,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2352,لَن,36,tidak,15,kamu tidak,1,tidak,,outside_policy | entity_or_pronoun_shift | annotative_expansion,48.50,17:37:7,will never,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2353,لَن,36,tidak,15,mereka tidak,1,tidak,,outside_policy | entity_or_pronoun_shift | annotative_expansion,48.50,22:73:13,will never,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2354,مُّسۡتَقِيمٖ,19,yang lurus,11,lurus,8,yang lurus,,outside_policy,48.49,2:142:21 | 5:16:18 | 16:76:29 | 16:121:7 | 23:73:5,straight | (the) straight | straight | straight | Straight,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2355,خَلَقَ,57,menciptakan,27,Dia ciptakan,4,menciptakan,Dia menciptakan | telah menciptakan,outside_policy,48.46,16:81:5 | 23:91:16 | 67:14:4 | 113:2:4,He created | he created | created | He created,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2356,ٱلۡمُرۡسَلِينَ,24,para Rasul,13,para rasul,6,para Rasul,,outside_policy,48.42,18:56:3 | 26:21:11 | 26:141:3 | 26:160:4 | 26:176:4,the Messengers | the Messengers | the Messengers | the Messengers | the Messengers,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2357,يَكُونَ,17,adalah,7,adalah ia/menjadi,1,adalah,,outside_policy | slash_gloss | annotative_expansion,48.35,4:172:5,be,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2358,يَكُونَ,17,adalah,7,adalah mereka,1,adalah,,outside_policy | entity_or_pronoun_shift | annotative_expansion,48.35,33:36:12,(there) should be,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2359,فِيهَا,183,di dalamnya,128,di dalamnya (bumi),3,di dalamnya,ke dalamnya | padanya,outside_policy | parenthetical | long_gloss | annotative_expansion,48.32,7:25:2 | 21:31:9 | 41:10:2,In it | therein | therein,Kekalkan gloss lokatif sebagai default.
2360,فِيهَا,183,di dalamnya,128,di dalamnya (negeri itu),3,di dalamnya,ke dalamnya | padanya,outside_policy | parenthetical | long_gloss | annotative_expansion,48.32,17:16:9 | 34:18:11 | 34:18:14,therein | between them | between them,Kekalkan gloss lokatif sebagai default.
2361,فِيهَا,183,di dalamnya,128,di dalamnya (syurga),3,di dalamnya,ke dalamnya | padanya,outside_policy | parenthetical | long_gloss | annotative_expansion,48.32,19:62:3 | 19:62:9 | 25:75:7,therein | therein | therein,Kekalkan gloss lokatif sebagai default.
2362,يَقُولُ,35,berkata,9,mengatakan,2,berkata,Dia berfirman | Dia berkata | dia berkata | ia berkata,outside_policy,48.21,33:4:24 | 72:4:3,says | speak ,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2363,ٱلۡمُؤۡمِنِينَ,70,orang-orang yang beriman,43,orang-orang mukmin,14,orang-orang yang beriman,,outside_policy,48.21,3:121:6 | 4:95:5 | 4:115:13 | 4:141:35 | 4:146:16,the believers | the believers | (of) the believers | the believers | the believers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
2364,يَقُولُونَ,48,mereka mengatakan,17,mereka berkata,16,mereka mengatakan,,outside_policy | entity_or_pronoun_shift,48.19,3:7:35 | 3:154:22 | 3:154:41 | 5:52:8 | 5:83:16,they say | saying | They say | saying | They say,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2365,تَرَ,31,kamu memperhatikan,10,kamu perhatikan,10,kamu memperhatikan,,outside_policy | entity_or_pronoun_shift,48.18,4:49:2 | 4:51:2 | 4:60:2 | 4:77:2 | 14:19:2,you see | you see | you see | you seen | you see,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2366,بِهِۦ,220,dengannya,122,dengannya (Yusuf),2,dengannya,dengan-Nya | kepadanya | padanya,outside_policy | parenthetical | entity_or_pronoun_shift | annotative_expansion,48.14,12:13:6 | 12:15:3,you should take him | they took him,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
2367,بِهِۦ,220,dengannya,122,dengannya (air itu),2,dengannya,dengan-Nya | kepadanya | padanya,outside_policy | parenthetical | long_gloss | annotative_expansion,48.14,6:99:8 | 25:49:2,with it | thereby,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
2368,بِهِۦ,220,dengannya,122,dengannya (wanita itu),2,dengannya,dengan-Nya | kepadanya | padanya,outside_policy | parenthetical | long_gloss | annotative_expansion,48.14,4:24:24 | 4:24:34,of it | of it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
2369,أَنَّىٰ,15,bagaimana,10,bagaimanakah,1,bagaimana,,outside_policy | annotative_expansion,48.00,19:8:3,How,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2370,كُنتُ,15,adalah aku,6,adalah aku/berada,1,adalah aku,,outside_policy | slash_gloss | annotative_expansion,48.00,19:31:5,I am,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2371,وَإِنَّهُۥ,24,dan sesungguhnya ia,6,dan sesungguhnya,2,dan sesungguhnya ia,dan sesungguhnya dia | dan sesungguhnya ia (Al Qur'an),outside_policy,48.00,2:149:9 | 69:48:1,"And indeed, it | And indeed, it",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2372,يَدَيۡهِ,15,dua tangannya,6,dua tangannya/depannya,1,dua tangannya,,outside_policy | slash_gloss | annotative_expansion,48.00,13:11:5,(him),Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2373,يَدَيۡهِ,15,dua tangannya,6,kedua tangannya/hadapannya,1,dua tangannya,,outside_policy | slash_gloss | annotative_expansion,48.00,72:27:10,him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2374,ٱلسَّبِيلِ,15,jalan,10,dalam perjalanan,1,jalan,,outside_policy | annotative_expansion,48.00,59:7:16,the wayfarer,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2375,ٱلۡعَظِيمُ,16,yang besar,8,besar,5,yang besar,,outside_policy,48.00,9:72:24 | 9:111:37 | 10:64:15 | 37:60:5 | 61:12:17,great | the great | the great | great | the great,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2376,وَمَا,507,dan tidak,231,dan bukan,4,dan apa,dan apa yang | dan tidak | dan tidak ada | dan tidaklah,outside_policy,47.92,2:135:12 | 3:78:19 | 8:17:6 | 12:73:10,and not | But not | And not | and not,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
2377,وَمَا,507,dan tidak,231,dan mengapa,4,dan apa,dan apa yang | dan tidak | dan tidak ada | dan tidaklah,outside_policy,47.92,2:246:32 | 4:75:1 | 5:84:1 | 14:12:1,And what | And what | And what | And what,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
2378,فِي,1098,dalam,380,di/pada,17,dalam,di | di dalam | pada | tentang,outside_policy | slash_gloss,47.85,2:195:2 | 2:220:1 | 2:261:13 | 4:89:14 | 5:26:8,in | Concerning | in | in | in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
2379,لَآ,48,tidak ada,29,tidak,15,tidak ada,,outside_policy,47.79,2:255:2 | 3:195:5 | 4:143:4 | 5:25:4 | 6:76:13,(there is) no | (will) not | not | (do) not | Not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2380,مَا,707,apa,419,tidaklah,13,apa,apa yang | tidak | tidak ada,outside_policy,47.70,21:65:7 | 23:24:7 | 23:33:14 | 30:55:6 | 34:43:7,not | This is not | Not | not | Not,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
2381,يَكُونُ,18,adalah,7,adalah/jadilah dia,1,adalah,,outside_policy | slash_gloss | annotative_expansion,47.67,2:247:13,can be,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2382,يَكُونُ,18,adalah,7,adalah/menjadi,1,adalah,,outside_policy | slash_gloss | annotative_expansion,47.67,4:109:16,will be,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2383,ٱلۡأَرۡضِ,180,bumi,145,(muka) bumi,2,bumi,,outside_policy | parenthetical | annotative_expansion,47.67,9:2:3 | 12:21:19,the land | the land,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2384,ٱلۡأَرۡضِ,180,bumi,145,bumi/negeri ini,2,bumi,,outside_policy | slash_gloss | annotative_expansion,47.67,12:56:5 | 28:19:26,the land | the earth,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2385,بِٱلۡبَيِّنَٰتِ,21,dengan keterangan-keterangan,5,dengan bukti-bukti,2,dengan keterangan-keterangan,dengan keterangan yang nyata,outside_policy,47.64,2:92:4 | 7:101:10,with [the] clear signs | with clear proofs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2386,مَعَ,49,beserta,19,beserta/bersama-sama,1,beserta,,outside_policy | slash_gloss | annotative_expansion,47.63,4:146:11,with,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2387,قَالُواْ,171,mereka berkata,139,mereka berkata/menjawab,6,mereka berkata,,outside_policy | slash_gloss | entity_or_pronoun_shift | annotative_expansion,47.55,7:37:29 | 7:44:19 | 14:21:21 | 18:19:10 | 37:29:1,They say | They will say | They will say | They said | They will say,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2388,ذَٰلِكُمۡ,25,demikian itu,20,yang demikian itu,2,demikian itu,,outside_policy | long_gloss | annotative_expansion,47.50,2:54:16 | 33:53:28,That | that,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2389,يَشَآءُۚ,35,Dia kehendaki,28,yang Dia kehendaki,2,Dia kehendaki,,outside_policy | long_gloss | annotative_expansion,47.50,24:45:25 | 35:1:18,He wills | He wills,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2390,يُحِبُّ,39,Dia menyukai,23,menyukai,14,Dia menyukai,,outside_policy,47.48,2:205:13 | 2:276:8 | 3:57:10 | 4:36:28 | 4:107:10,love | love | love | love | love,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2391,يُؤۡمِنُونَ,86,mereka beriman,53,beriman,26,mereka beriman,,outside_policy,47.45,2:3:2 | 2:4:2 | 4:38:7 | 4:65:4 | 4:162:7,believe | believe | they believe | will they believe | believe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2392,لَهُۥ,174,baginya,64,untuknya,3,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy,47.37,6:122:6 | 21:82:5 | 34:12:8,for him | for him | for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2393,مُّبِينٖ,25,yang nyata,14,nyata,10,yang nyata,,outside_policy,47.30,11:6:16 | 12:30:18 | 15:79:5 | 36:47:24 | 43:40:11,clear | clear | clear | clear | clear,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2394,كَانَتۡ,23,adalah,10,ada,4,adalah,,outside_policy,47.29,2:94:3 | 19:28:9 | 36:29:2 | 36:53:2,is | was | it was | it will be,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2395,نَذِيرٞ,20,seorang pemberi peringatan,11,pemberi peringatan,9,seorang pemberi peringatan,,outside_policy,47.28,7:188:25 | 11:2:8 | 11:25:8 | 26:115:4 | 29:50:15,a warner | a warner | a warner | a warner | a warner,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
2396,ءَامَنَ,25,beriman,16,dia beriman,1,beriman,,outside_policy | annotative_expansion,47.20,2:177:12,believes,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2397,ءَامَنَ,25,beriman,16,yang beriman,1,beriman,,outside_policy | annotative_expansion,47.20,10:83:2,believed,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2398,مِّنۡهُ,28,daripadanya,15,daripada-Nya,8,daripadanya,,outside_policy,47.20,3:45:9 | 4:96:2 | 4:175:10 | 9:21:4 | 11:2:7,from Him | from Him | from Himself | from Him | from Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2399,لَهُمۡ,204,bagi mereka,135,bagi mereka mempunyai,3,bagi mereka,,outside_policy | long_gloss | entity_or_pronoun_shift | annotative_expansion,47.19,7:195:6 | 7:195:11 | 7:195:16,for them | for them | for them,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
2400,رَّبِّ,18,ya Tuhanku,9,Tuhan,6,ya Tuhanku,,outside_policy,47.17,7:61:9 | 7:67:9 | 7:104:7 | 10:37:21 | 32:2:7,(the) Lord | (the) Lord | (the) Lord | (the) Lord | (the) Lord,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2401,فَقَالَ,27,maka dia berkata,6,maka berkatalah,2,maka dia berkata,lalu dia berkata | maka berkata,outside_policy,47.17,11:27:1 | 23:24:1,So said | But said,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2402,لِلنَّاسِ,36,bagi manusia,20,kepada manusia,10,bagi manusia,,outside_policy,47.17,2:83:17 | 2:159:13 | 2:187:63 | 2:221:37 | 3:79:12,to [the] people | to the people | for [the] people | for the people | to the people,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2403,لَّهُۥ,30,baginya,15,bagi-Nya,6,baginya,,outside_policy,47.17,6:101:10 | 17:111:10 | 17:111:16 | 25:2:11 | 39:63:1,for Him | for Him | for Him | for Him | For Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2404,لَهُۥ,174,baginya,64,bagi-Nya (mempunyai),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical | annotative_expansion,47.03,5:40:5,to Him (belongs),Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2405,لَهُۥ,174,baginya,64,bagi-Nya-lah/memiliki,1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | slash_gloss | annotative_expansion,47.03,34:1:4,the One to Whom belongs,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2406,لَهُۥ,174,baginya,64,bagi-Nya/dengan-Nya,1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | slash_gloss | annotative_expansion,47.03,19:65:11,for Him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2407,لَهُۥ,174,baginya,64,baginya (Qabil),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical | annotative_expansion,47.03,5:30:2,to him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2408,لَهُۥ,174,baginya,64,baginya (ayah),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical | annotative_expansion,47.03,2:233:13,(on) him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2409,لَهُۥ,174,baginya,64,baginya (mempunyai),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical | annotative_expansion,47.03,38:23:4,he has,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2410,لَهُۥ,174,baginya,64,baginya(air),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical | annotative_expansion,47.03,18:41:7,to find it,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2411,لَهُۥ,174,baginya,64,baginya(seseorang),1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | parenthetical | annotative_expansion,47.03,13:11:1,For him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2412,لَهُۥ,174,baginya,64,baginya/ mempunyai,1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | slash_gloss | annotative_expansion,47.03,2:266:5,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2413,لَهُۥ,174,baginya,64,baginya/mendapat,1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | slash_gloss | annotative_expansion,47.03,28:37:12,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2414,لَهُۥ,174,baginya,64,baginya/padanya,1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | slash_gloss | annotative_expansion,47.03,20:115:10,in him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2415,لَهُۥ,174,baginya,64,baginya/untuknya,1,baginya,bagi-Nya | kepada-Nya | kepadanya,outside_policy | slash_gloss | annotative_expansion,47.03,21:94:11,of it,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
2416,عَٰقِبَةُ,26,akibat/kesudahan,14,akibat,9,akibat/kesudahan,,outside_policy,46.93,3:137:12 | 7:103:15 | 30:9:8 | 30:42:8 | 35:44:8,(the) end | (the) end | (the) end | (the) end | (the) end,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2417,لَهَا,33,baginya,12,baginya/kepadanya,1,baginya,kepadanya | padanya,outside_policy | slash_gloss | annotative_expansion,46.91,33:30:9,for her,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2418,ٱلۡمُؤۡمِنُونَ,22,orang-orang yang beriman,12,orang-orang mukmin,10,orang-orang yang beriman,,outside_policy,46.86,3:28:3 | 3:122:12 | 3:160:18 | 5:11:23 | 9:122:3,the believers | the believers | the believers | the believers | (for) the believers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
2419,فَإِذَا,76,maka apabila,45,maka tiba-tiba,23,maka apabila,,outside_policy,46.85,7:107:3 | 7:108:3 | 7:117:7 | 7:201:10 | 16:4:5,and suddenly | and suddenly | and suddenly | and then | then behold,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2420,أَنِ,20,agar,7,bahawa,3,agar,,outside_policy,46.83,4:66:5 | 20:39:1 | 26:10:5,that | That | [that],Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2421,أَنِ,20,agar,7,hendaklah,3,agar,,outside_policy,46.83,16:68:5 | 16:123:4 | 71:3:1,[that] | that | That,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2422,فِيٓ,86,dalam,31,dalam/bersama,1,dalam,di | pada | tentang,outside_policy | slash_gloss | annotative_expansion,46.81,28:45:10,among,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
2423,فِيٓ,86,dalam,31,dalam/di antara,1,dalam,di | pada | tentang,outside_policy | slash_gloss | annotative_expansion,46.81,20:40:27,with,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
2424,فِيٓ,86,dalam,31,dalam/pada,1,dalam,di | pada | tentang,outside_policy | slash_gloss | annotative_expansion,46.81,6:158:31,through,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
2425,فِيٓ,86,dalam,31,dalam/terhadap,1,dalam,di | pada | tentang,outside_policy | slash_gloss | annotative_expansion,46.81,3:186:2,in,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
2426,فِيٓ,86,dalam,31,dalam/untuk,1,dalam,di | pada | tentang,outside_policy | slash_gloss | annotative_expansion,46.81,4:11:3,concerning,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
2427,فِيٓ,86,dalam,31,di dalam/pada,1,dalam,di | pada | tentang,outside_policy | slash_gloss | annotative_expansion,46.81,11:31:26,(is) in,Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
2428,إِذۡ,152,ketika,118,ketika/tatkala,2,ketika,,outside_policy | slash_gloss | annotative_expansion,46.79,34:32:11 | 34:33:10,when | when,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2429,جَنَّـٰتٖ,37,syurga,17,sorga,5,syurga,,outside_policy,46.78,5:12:32 | 14:23:6 | 64:9:17 | 70:35:3 | 74:40:2,(to) gardens | (to) Gardens | (to) Gardens | Gardens | Gardens,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2430,عَذَابٌ,48,azab,25,seksa,8,azab,,outside_policy,46.75,2:114:29 | 2:174:28 | 2:178:36 | 3:91:19 | 3:105:13,(is) a punishment | (is) a punishment | (is) a punishment | (is) a punishment | (is) a punishment,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2431,مَنۡ,72,orang,33,barang siapa,5,orang,siapa | siapakah,outside_policy,46.75,2:112:2 | 6:54:15 | 16:97:1 | 40:40:1 | 45:15:1,whoever | who | Whoever | Whoever | Whoever,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
2432,حَيۡثُ,29,di mana saja,6,kemana saja,2,di mana saja,arah | mana saja,outside_policy,46.71,12:56:8 | 38:36:7,where ever | wherever,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2433,حَيۡثُ,29,di mana saja,6,mana,2,di mana saja,arah | mana saja,outside_policy,46.71,7:27:21 | 65:6:3,where | where,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2434,حَيۡثُ,29,di mana saja,6,sebagaimana,2,di mana saja,arah | mana saja,outside_policy,46.71,2:35:10 | 15:65:13,(from) wherever | where,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2435,فَهُوَ,28,maka dia,10,maka dia/itu,1,maka dia,maka Dia | maka itu,outside_policy | slash_gloss | annotative_expansion,46.71,22:30:6,then it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2436,بَلۡ,96,bahkan,48,tetapi,7,bahkan,bahkan/tetapi,outside_policy,46.57,24:11:11 | 31:25:12 | 44:9:1 | 46:24:10 | 46:28:10,nay | But | Nay | Nay | Nay,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2437,ٱلۡحَقِّ,26,kebenaran,13,benar,7,kebenaran,,outside_policy,46.57,3:154:19 | 6:93:45 | 7:146:9 | 14:22:10 | 19:34:6,the truth  | the truth | [the] right | (of) truth | (of) truth,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2438,مِن,728,dari,711,dari/termasuk,4,dari,,outside_policy | slash_gloss | annotative_expansion,46.55,10:94:17 | 26:85:2 | 27:40:21 | 37:83:2,from | of | (is) from | among,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
2439,وَإِن,146,dan jika,112,dan jika dia,2,dan jika,,outside_policy | long_gloss | annotative_expansion,46.51,40:28:20 | 40:28:25,And if | and if,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2440,بِمَا,253,dengan apa,71,dengan/tentang apa,12,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss,46.50,2:271:18 | 5:48:48 | 9:64:8 | 10:23:23 | 22:68:6,with what | of what | of what | of what | of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
2441,ٱلۡأَلۡبَٰبِ,15,yang berakal,3,fikiran,2,yang berakal,akal/fikiran,outside_policy,46.50,38:43:10 | 40:54:4,for those of understanding | (of) understanding,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2442,ٱلۡقُرۡءَانَ,20,Al-Quran,9,Al-Qur'an,5,Al-Quran,,outside_policy,46.50,17:9:3 | 20:2:4 | 27:6:3 | 28:85:5 | 54:17:3,the Quran | the Quran | the Quran | the Quran | the Quran,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2443,ذَٰلِكَ,264,demikian itu,131,itu,7,demikian itu,demikian | demikian/itu,outside_policy,46.46,2:2:1 | 3:89:6 | 15:66:3 | 18:23:6 | 23:63:11,That | that | [that] | that | that,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
2444,جَآءَ,57,datang,35,datanglah,1,datang,,outside_policy | annotative_expansion,46.42,9:48:10,came,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
